"","Hillary Clinton Democratic","Donald Trump Republican","Gary Johnson Libertarian","Jill Stein Green","Evan McMullin Independent","Others","Total"
"State or district","Electoral method","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","State","Status"
"New Mexico","WTA","385,234","48.26%","5","319,666","40.04%","–","74,541","9.34%","–","9,879","1.24%","–","5,825","0.73%","–","3,173","0.40%","–","798,318","NM","Official"
"New York","WTA","4,145,376","57.89%","29","2,638,135","36.84%","–","162,273","2.28%","–","100,110","1.41%","–","","","–","","","","","NY","Unofficial"
"North Carolina","WTA","2,189,350","46.17%","–","2,362,697","49.83%","15","130,134","2.74%","–","12,093","0.26%","–","","","–","47,391","1.00%","–","4,741,665","NC","Unofficial"
"North Dakota","WTA","93,758","27.23%","–","216,794","62.96%","3","21,434","6.22%","–","3,780","1.10%","–","","","–","8,594","2.49%","–","344,360","ND","Official"
"Ohio","WTA","2,394,164","43.56%","–","2,841,005","51.69%","18","174,498","3.17%","–","46,271","0.84%","–","12,574","0.23%","–","","","","","OH","Official"
"Oklahoma","WTA","420,375","28.93%","–","949,136","65.32%","7","83,481","5.75%","–","","","–","","","–","N/A","N/A","–","1,452,992","OK","Official"
"Oregon","WTA","991,580","50.10%","7","774,080","39.11%","–","93,875","4.70%","–","49,247","2.49%","–","","","–","","","","","OR","Unofficial"
"Pennsylvania","WTA","2,926,025","47.86%","–","2,970,146","48.58%","20","146,667","2.40%","–","49,941","0.82%","–","","","–","","","","","PA","Unofficial"
"Rhode Island","WTA","227,062","53.83%","4","166,454","39.46%","–","14,700","3.18%","–","6,171","1.37%","–","","","–","","","","","RI","Official"
"South Carolina","WTA","855,373","40.67%","–","1,155,389","54.94%","9","49,204","2.34%","–","13,034","0.62%","–","21,016","1.00%","–","9,011","0.43%","–","2,103,027","SC","Official"
"South Dakota","WTA","117,442","31.74%","–","227,701","61.53%","3","20,845","5.63%","–","","","–","","","–","","","","","SD","Unofficial"
"Tennessee","WTA","868,853","34.90%","–","1,519,926","61.06%","11","70,286","2.82%","–","15,952","0.64%","–","","","–","","","","","TN","Unofficial"
"Texas","WTA","3,877,868","43.24%","–","4,685,047","52.23%","38","283,492","3.16%","–","71,558","0.80%","–","42,366","0.47%","–","8,895","0.10%","–","8,969,226","TX","Official"
"Utah","WTA","310,674","27.46%","–","515,211","45.54%","6","39,608","3.50%","–","9,438","0.83%","–","243,685","21.54%","–","","","","","UT","Official"
"Vermont","WTA","178,573","55.72%","3","95,369","29.76%","–","10,078","3.14%","–","6,758","2.11%","–","629","0.20%","–","29,060","9.07%","–","320,467","VT","Official"
"Virginia","WTA","1,981,473","49.75%","13","1,769,443","44.43%","–","118,274","2.97%","–","27,638","0.69%","–","54,054","1.36%","–","31,870","0.80%","–","3,982,752","VA","Official"
"Washington","WTA","1,742,718","54.3%","12","1,221,747","38.07%","–","160,879","5.01%","–","58,417","1.82%","–","","","–","","","","","WA","Unofficial"
"West Virginia","WTA","188,794","26.48%","–","489,371","68.63%","5","23,004","3.23%","–","8,075","1.13%","–","","","–","","","","713,051","WV","Unofficial"
"Wisconsin","WTA","1,381,823","46.44%","–","1,404,000","47.19%","10","106,585","3.58%","–","31,006","1.04%","–","","","–","","","","2,975,313","WI","Unofficial"
"Wyoming","WTA","55,973","21.9%","–","174,419","68.2%","3","13,287","5.2%","–","2,515","1.0%","–","","","–","9,655","3.7%","–","258,788","WY","Official"
"U.S. Total","–","65,127,332","","232","62,621,132","","306","4,453,394","","–","1,426,200","","–","608,154","","–","","","–","135,623,465","US",""
